normalized_name,observed_rows,raw_name_variants,distinct_restaurant_ids,confidence,review_status
pizza king,35,4,35,Medium,Priority review
pizza point,35,5,35,Medium,Priority review
tea post,35,2,35,Medium,Priority review
canteen central by eatfit,34,1,34,High,Priority review
food junction,34,3,34,Medium,Priority review
homely,34,2,34,Medium,Priority review
zwarma,34,3,34,Medium,Priority review
biryani badshah,33,2,33,Medium,Priority review
breakfast express,33,1,33,High,Priority review
third wave coffee,33,2,33,Medium,Priority review
vadilal ice cream,33,2,33,Medium,Priority review
vadilal ice creams,33,2,33,Medium,Priority review
just bake,32,4,32,Medium,Priority review
krispy kreme,32,1,32,High,Priority review
ab s absolute barbecues,31,5,31,Medium,Priority review
beijing bites,31,2,31,Medium,Priority review
fb cakes,31,3,31,Medium,Priority review
bombay kulfis,30,2,30,Medium,Priority review
itc fabelle chocolates,30,1,30,High,Priority review
kathi junction,30,6,30,Medium,Priority review
the baker s dozen,30,2,30,Medium,Priority review
ck s bakery,29,2,29,Medium,Priority review
kanti sweets,29,1,29,High,Priority review
makers of milkshakes,29,3,29,Medium,Priority review
pizza hub,29,5,29,Medium,Priority review
rollsking,29,3,29,Medium,Priority review
the sugar free keto kafe by artinci,29,1,29,High,Priority review
anjappar,28,1,28,High,Priority review
artinci indulge guilt free,28,2,28,Medium,Priority review
bikkgane biryani,28,2,28,Medium,Priority review
blue tokai coffee roasters,28,1,28,High,Priority review
chai kings,28,3,28,Medium,Priority review
grill inn,28,4,28,Medium,Priority review
haldiram s,28,2,28,Medium,Priority review
istah shawarma,28,1,28,High,Priority review
moti mahal delux,28,4,28,Medium,Priority review
shawarma hut,28,3,28,Medium,Priority review
shero home food andhra,28,3,28,Medium,Priority review
the lassi corner,28,2,28,Medium,Priority review
the red box,28,2,28,Medium,Priority review
food factory,27,3,27,Medium,Priority review
getawhey healthy ice creams,27,4,27,Medium,Priority review
ghar ki rasoi,27,3,27,Medium,Priority review
haka,27,1,27,High,Priority review
mumbai kulfi,27,4,27,Medium,Priority review
smoor,27,1,27,High,Priority review
cake point,26,2,26,Medium,Priority review
cream and fudge,26,3,26,Medium,Priority review
desi tadka,26,4,26,Medium,Priority review
fnp cakes n more,26,16,26,Medium,Priority review
mainland china,26,1,26,High,Priority review
miami shakes and more,26,2,26,Medium,Priority review
pastas by pizza hut,26,1,26,High,Priority review
sanjha chulha,26,2,26,Medium,Priority review
v cafe meals by pvr,26,1,26,High,Priority review
al baik com,25,14,25,Medium,Priority review
amma s pastries,25,1,25,High,Priority review
apni rasoi,25,3,25,Medium,Priority review
ghar ka khana,25,6,25,Medium,Priority review
jenny s brownies,25,1,25,High,Priority review
momo nation cafe,25,4,24,Medium,Priority review
new york waffles and dinges,25,2,25,Medium,Priority review
pizza paradise,25,3,25,Medium,Priority review
samosa party,25,1,25,High,Priority review
smoodies and juices yours fruitfully,25,1,25,High,Priority review
the burger company,25,4,25,Medium,Priority review
wat a burger india ka burger,25,4,25,Medium,Priority review
cake house,24,3,24,Medium,Priority review
dairy day ice creams,24,2,24,Medium,Priority review
french loaf,24,1,24,High,Priority review
giani ice cream,24,4,24,Medium,Priority review
pind balluchi,24,2,24,Medium,Priority review
punjabi zaika,24,3,24,Medium,Priority review
the cake world,24,2,24,Medium,Priority review
asia kitchen by mainland china,23,2,23,Medium,Priority review
biryani hub,23,4,23,Medium,Priority review
boss burger,23,1,23,High,Priority review
love at first bite,23,3,23,Medium,Priority review
madras cafe,23,3,23,Medium,Priority review
mega biryani,23,1,23,High,Priority review
momo magic cafe,23,3,23,Medium,Priority review
panda momos,23,1,23,High,Priority review
starboy pizza and shakes,23,2,23,Medium,Priority review
the london shakes,23,3,23,Medium,Priority review
veer ji malai chaap wale,23,5,23,Medium,Priority review
amul ice cream parlour,22,5,22,Medium,Priority review
biryani junction,22,2,22,Medium,Priority review
burgrill the win win burger,22,2,22,Medium,Priority review
california burrito,22,1,22,High,Priority review
chandni chowk,22,1,22,High,Priority review
food adda,22,3,22,Medium,Priority review
karachi bakery,22,2,22,Medium,Priority review
lassi corner,22,2,22,Medium,Priority review
madurai famous jigarthanda,22,4,22,Medium,Priority review
momo shomo,22,2,22,Medium,Priority review
one bite,22,2,22,Medium,Priority review
pizza corner,22,4,22,Medium,Priority review
ribbons and balloons,22,4,22,Medium,Priority review
wack waffles and brownies,22,2,22,Medium,Priority review
wah ji wah,22,5,22,Medium,Priority review
badmash biryani,21,2,21,Medium,Priority review
biryani hazir ho,21,3,21,Medium,Priority review
cafe durga,21,2,21,Medium,Priority review
cake factory,21,3,21,Medium,Priority review
food mohalla,21,2,21,Medium,Priority review
la milano pizzeria,21,1,21,High,Priority review
mio amore the cake shop,21,1,21,High,Priority review
momo guy,21,1,21,High,Priority review
nazeer foods,21,1,21,High,Priority review
pizza express,21,4,21,Medium,Priority review
royal kitchen,21,4,21,Medium,Priority review
taste of india,21,4,21,Medium,Priority review
the burger club,21,2,21,Medium,Priority review
bercos if you love chinese,20,1,20,High,Priority review
bombay kulfi,20,3,20,Medium,Priority review
brownie heaven,20,1,20,High,Priority review
cookie man,20,2,20,Medium,Priority review
desert shawarma,20,3,20,Medium,Priority review
food court,20,3,19,Medium,Priority review
food plaza,20,2,20,Medium,Priority review
food point,20,4,20,Medium,Priority review
karim s,20,3,19,Medium,Priority review
maa ki rasoi,20,3,20,Medium,Priority review
mamagoto,20,1,20,High,Priority review
mirch masala,20,2,20,Medium,Priority review
mr burger,20,7,20,Medium,Priority review
papacream,20,3,20,Medium,Priority review
pizza bite,20,4,20,Medium,Priority review
sher e punjab,20,8,20,Medium,Priority review
taste of punjab,20,4,20,Medium,Priority review
the pizza box,20,3,20,Medium,Priority review
the table,20,3,20,Medium,Priority review
wandercrust,20,1,20,High,Priority review
99 pancakes,19,2,19,Medium,Conservative normalization
al baik,19,6,19,Medium,Conservative normalization
bawarchi,19,2,19,Medium,Conservative normalization
biryani bowl,19,3,19,Medium,Conservative normalization
chef bakers,19,2,19,Medium,Conservative normalization
dosa plaza,19,4,19,Medium,Conservative normalization
getawhey,19,1,19,High,Conservative normalization
grill masters,19,2,19,Medium,Conservative normalization
home kitchen,19,5,19,Medium,Conservative normalization
kailash parbat,19,1,19,High,Conservative normalization
madras coffee house,19,4,19,Medium,Conservative normalization
naadbramha idli,19,2,19,Medium,Conservative normalization
punjabi kitchen,19,4,19,Medium,Conservative normalization
takeout cafe,19,1,19,High,Conservative normalization
tea junction,19,2,19,Medium,Conservative normalization
the great indian food court,19,1,19,High,Conservative normalization
tongue twisters,19,1,19,High,Conservative normalization
urban tapri,19,1,19,High,Conservative normalization
34 chowringhee lane,18,4,18,Medium,Conservative normalization
cake corner,18,3,18,Medium,Conservative normalization
chinese hut,18,3,18,Medium,Conservative normalization
food costa,18,4,18,Medium,Conservative normalization
