normalized_name,observed_rows,raw_name_variants,distinct_restaurant_ids,confidence,review_status
the imperial spice,4,1,4,High,Conservative normalization
the indian samosa,4,2,4,Medium,Conservative normalization
the italian kitchen,4,2,4,Medium,Conservative normalization
the kebab house,4,2,4,Medium,Conservative normalization
the kulfi and falooda project,4,4,4,Medium,Conservative normalization
the mama shop,4,3,4,Medium,Conservative normalization
the masala story,4,1,4,High,Conservative normalization
the mexican tapas bar gourmet cloud kitchen,4,1,4,High,Conservative normalization
the mighty bowl,4,2,4,Medium,Conservative normalization
the momo king,4,2,4,Medium,Conservative normalization
the monk momo,4,2,4,Medium,Conservative normalization
the nosh bistro,4,2,4,Medium,Conservative normalization
the paratha factory,4,1,4,High,Conservative normalization
the paratha singh,4,1,4,High,Conservative normalization
the pizza,4,3,4,Medium,Conservative normalization
the pizza express,4,2,4,Medium,Conservative normalization
the pizza factory,4,1,4,High,Conservative normalization
the pizza stone,4,2,4,Medium,Conservative normalization
the pizza world,4,3,4,Medium,Conservative normalization
the roll joint by henry havaldar,4,1,4,High,Conservative normalization
the royal biryani house,4,2,4,Medium,Conservative normalization
the royal kitchen,4,2,4,Medium,Conservative normalization
the sandwich box,4,1,4,High,Conservative normalization
the shake factory,4,1,4,High,Conservative normalization
the shawarma house,4,2,4,Medium,Conservative normalization
the shawarma point,4,2,4,Medium,Conservative normalization
the south indian coffee house,4,1,4,High,Conservative normalization
the spice delight,4,2,4,Medium,Conservative normalization
the spicy kitchen,4,2,4,Medium,Conservative normalization
the spicy venue,4,1,4,High,Conservative normalization
the tasty tiffin,4,2,4,Medium,Conservative normalization
thikana,4,3,4,Medium,Conservative normalization
tibet kitchen,4,2,4,Medium,Conservative normalization
tikka junction,4,1,4,High,Conservative normalization
tikka n talk,4,2,4,Medium,Conservative normalization
tipsy topsy bakers,4,2,4,Medium,Conservative normalization
tollywood food,4,2,4,Medium,Conservative normalization
tomato s,4,2,4,Medium,Conservative normalization
tosai,4,1,4,High,Conservative normalization
treat,4,1,4,High,Conservative normalization
trishiv chinese corner,4,1,4,High,Conservative normalization
trivandrum chicken corner,4,2,4,Medium,Conservative normalization
truecakes,4,1,4,High,Conservative normalization
truly biryani,4,1,4,High,Conservative normalization
turban tadka,4,2,4,Medium,Conservative normalization
udupi upahar,4,3,4,Medium,Conservative normalization
udupi vaibhav,4,2,4,Medium,Conservative normalization
ugly delicious saucy monster bowls,4,1,4,High,Conservative normalization
uncle chicken shawarma,4,3,4,Medium,Conservative normalization
uncle momo,4,1,4,High,Conservative normalization
uncle peters pancakes,4,2,4,Medium,Conservative normalization
united coffee house rewind,4,1,4,High,Conservative normalization
upsouth,4,1,4,High,Conservative normalization
urban cafe,4,2,4,Medium,Conservative normalization
urban grill,4,1,4,High,Conservative normalization
urban punjab,4,2,4,Medium,Conservative normalization
urban tandoor,4,1,4,High,Conservative normalization
ustad hotel,4,2,4,Medium,Conservative normalization
vadapav and more,4,1,4,High,Conservative normalization
vaishali restaurant,4,1,4,High,Conservative normalization
vanakkam,4,2,4,Medium,Conservative normalization
varhadi misal,4,4,4,Medium,Conservative normalization
vidya bakery,4,2,4,Medium,Conservative normalization
vip pizza,4,3,4,Medium,Conservative normalization
waf bites,4,1,4,High,Conservative normalization
wahid biryani,4,2,4,Medium,Conservative normalization
welcome fast food,4,4,4,Medium,Conservative normalization
whatta waffle,4,2,4,Medium,Conservative normalization
wholesome meals,4,2,4,Medium,Conservative normalization
wicked brownies,4,1,4,High,Conservative normalization
wild wild wings,4,2,4,Medium,Conservative normalization
wonton momos,4,3,4,Medium,Conservative normalization
wooddy jhone s pizza,4,3,4,Medium,Conservative normalization
wrap caffe,4,2,4,Medium,Conservative normalization
wrap king,4,3,4,Medium,Conservative normalization
wrap n rolls,4,2,4,Medium,Conservative normalization
writer s express,4,1,4,High,Conservative normalization
yangkiez by momo mami,4,1,4,High,Conservative normalization
yelneer katte,4,2,4,Medium,Conservative normalization
yo chinese,4,3,4,Medium,Conservative normalization
yo pizza,4,3,4,Medium,Conservative normalization
yours truly butter chicken,4,1,4,High,Conservative normalization
yours truly butter paneer,4,1,4,High,Conservative normalization
yum yum,4,1,4,High,Conservative normalization
yummerica fries,4,2,3,Medium,Conservative normalization
yummy food,4,2,4,Medium,Conservative normalization
zaffran,4,1,4,High,Conservative normalization
zaika biryani,4,2,4,Medium,Conservative normalization
zaika family restaurant,4,2,4,Medium,Conservative normalization
zam zam hotel,4,1,4,High,Conservative normalization
zox shakes,4,3,4,Medium,Conservative normalization
1947 restaurant,3,1,3,High,Conservative normalization
24 carats mithai magic,3,1,3,High,Conservative normalization
24 hour cake,3,3,3,Medium,Conservative normalization
24 hours cake,3,1,3,High,Conservative normalization
24hourcake and flower com,3,1,3,High,Conservative normalization
6 ballygunje place,3,1,3,High,Conservative normalization
7 days,3,2,3,Medium,Conservative normalization
7 days restaurant,3,1,3,High,Conservative normalization
7 plates,3,1,3,High,Conservative normalization
89 express dhaba,3,2,3,Medium,Conservative normalization
8th day cafe and bakery,3,1,3,High,Conservative normalization
90ml,3,1,3,High,Conservative normalization
99 cakes,3,1,3,High,Conservative normalization
99 variety dosa and pav bhaji,3,1,3,High,Conservative normalization
a la liberty,3,2,3,Medium,Conservative normalization
a1 biryani house,3,1,3,High,Conservative normalization
a1 chinese,3,2,3,Medium,Conservative normalization
a1 chips and exports india pvt ltd,3,1,3,High,Conservative normalization
a1 haji biryani,3,3,3,Medium,Conservative normalization
a1 restaurant,3,1,3,High,Conservative normalization
a2z burgers,3,1,3,High,Conservative normalization
aaheli xpress,3,1,3,High,Conservative normalization
aaladipattiyan halwakadai and karupatti coffee,3,2,3,Medium,Conservative normalization
aamhi pohekar,3,2,3,Medium,Conservative normalization
aapki apni rasoi,3,2,3,Medium,Conservative normalization
abar khabo,3,3,3,Medium,Conservative normalization
abhiruchi,3,1,3,High,Conservative normalization
abhiruchi restaurant,3,1,3,High,Conservative normalization
absabsolute barbecues,3,1,3,High,Conservative normalization
absolute barbecue ab s,3,2,3,Medium,Conservative normalization
abu al baik,3,3,3,Medium,Conservative normalization
ad pizza hub,3,2,3,Medium,Conservative normalization
adithya restaurant,3,2,3,Medium,Conservative normalization
aditya ice cream parlor,3,1,3,High,Conservative normalization
aditya kitchen,3,1,3,High,Conservative normalization
affordabowl,3,1,3,High,Conservative normalization
aggarwal bikaneri sweets,3,2,3,Medium,Conservative normalization
aggarwal sweet india,3,2,3,Medium,Conservative normalization
agra sweets,3,2,3,Medium,Conservative normalization
agrawal restaurant,3,2,3,Medium,Conservative normalization
agrawala sweets,3,1,3,High,Conservative normalization
ahad,3,2,3,Medium,Conservative normalization
ajay s take away food,3,2,3,Medium,Conservative normalization
ajwa restaurant,3,2,3,Medium,Conservative normalization
ak biryani house,3,2,3,Medium,Conservative normalization
ak foods,3,3,3,Medium,Conservative normalization
al baik fast food,3,2,3,Medium,Conservative normalization
al karam restaurant,3,2,3,Medium,Conservative normalization
al madina chicken haleem,3,1,3,High,Conservative normalization
al taj biryani,3,3,3,Medium,Conservative normalization
al zaika,3,2,3,Medium,Conservative normalization
al zaiqa,3,2,3,Medium,Conservative normalization
alam grilled wraps,3,2,3,Medium,Conservative normalization
alankar family restaurant,3,2,3,Medium,Conservative normalization
alibaba and 41 dishes,3,2,3,Medium,Conservative normalization
alif biriyani malaysian parota,3,1,3,High,Conservative normalization
alkauser,3,1,3,High,Conservative normalization
am biriyani,3,1,3,High,Conservative normalization
amantran restaurant,3,1,3,High,Conservative normalization
ambar restaurant,3,2,3,Medium,Conservative normalization
ambrosia,3,1,3,High,Conservative normalization
ambrosia restaurant,3,1,3,High,Conservative normalization
ambur biryani,3,2,3,Medium,Conservative normalization
ambur royal biriyani,3,1,3,High,Conservative normalization
amdos kitchen,3,1,3,High,Conservative normalization
american burger,3,2,3,Medium,Conservative normalization
american pizza,3,3,3,Medium,Conservative normalization
amigos,3,1,3,High,Conservative normalization
amma kitchen,3,3,3,Medium,Conservative normalization
ammas kitchen,3,2,3,Medium,Conservative normalization
ammy s,3,2,3,Medium,Conservative normalization
amritsari haveli,3,1,3,High,Conservative normalization
amritsari kulcha land,3,1,3,High,Conservative normalization
amsam,3,1,3,High,Conservative normalization
amul ice cream parlor,3,2,3,Medium,Conservative normalization
anand bakers,3,2,3,Medium,Conservative normalization
anand bakery,3,1,3,High,Conservative normalization
anand bhavan,3,1,3,High,Conservative normalization
anand bhojnalay,3,1,3,High,Conservative normalization
anardana kitchen,3,1,3,High,Conservative normalization
anda ka maharaja,3,2,3,Medium,Conservative normalization
andhra bhavan,3,1,3,High,Conservative normalization
andhra biryanis,3,1,3,High,Conservative normalization
andhra meals,3,2,3,Medium,Conservative normalization
andhra military cafe,3,2,3,Medium,Conservative normalization
andhra spice hub,3,1,3,High,Conservative normalization
angaar,3,2,3,Medium,Conservative normalization
angaara,3,1,3,High,Conservative normalization
angeethi restaurant,3,1,3,High,Conservative normalization
angry momos,3,2,3,Medium,Conservative normalization
anna s kitchen,3,1,3,High,Conservative normalization
annapurna food,3,2,3,Medium,Conservative normalization
annapurna food corner,3,2,3,Medium,Conservative normalization
annapurna sweets,3,2,3,Medium,Conservative normalization
annapurna thali,3,2,3,Medium,Conservative normalization
apanjan,3,2,3,Medium,Conservative normalization
apna bhojnalaya,3,2,3,Medium,Conservative normalization
apna cafe,3,2,3,Medium,Conservative normalization
apna chulha,3,2,3,Medium,Conservative normalization
apna food,3,2,3,Medium,Conservative normalization
appetizer,3,1,3,High,Conservative normalization
apupa,3,2,3,Medium,Conservative normalization
arabian delights,3,2,3,Medium,Conservative normalization
arabian hut,3,2,3,Medium,Conservative normalization
arabian restaurant,3,1,3,High,Conservative normalization
arabian shawarma corner,3,2,3,Medium,Conservative normalization
arafa chicken park,3,1,3,High,Conservative normalization
aroma cafe,3,2,3,Medium,Conservative normalization
aroma family restaurant,3,2,3,Medium,Conservative normalization
aroma kitchen,3,1,3,High,Conservative normalization
aroma s hyderabad house,3,1,3,High,Conservative normalization
arsalan biryani house,3,2,3,Medium,Conservative normalization
aryaas,3,2,3,Medium,Conservative normalization
asha sweet center,3,1,3,High,Conservative normalization
ashirwad biryani,3,2,3,Medium,Conservative normalization
ashirwad hotel,3,2,3,Medium,Conservative normalization
asian aroma,3,2,3,Medium,Conservative normalization
asian fiction,3,1,3,High,Conservative normalization
asian hawker,3,1,3,High,Conservative normalization
asli mumbai chaat,3,1,3,High,Conservative normalization
aswins home special,3,2,3,Medium,Conservative normalization
atho kadai,3,2,3,Medium,Conservative normalization
atithi,3,1,3,High,Conservative normalization
auberry the bake shop,3,1,3,High,Conservative normalization
aunty ki rasoi,3,2,3,Medium,Conservative normalization
authentic chinese town,3,1,3,High,Conservative normalization
ayyappa mess,3,2,2,Medium,Conservative normalization
b creamy,3,3,3,Medium,Conservative normalization
b2h biryani 2 home,3,1,3,High,Conservative normalization
baba da dhaba,3,1,3,High,Conservative normalization
baba s,3,1,3,High,Conservative normalization
bachelor kitchen 24x7,3,2,3,Medium,Conservative normalization
baguette salads,3,1,3,High,Conservative normalization
bagundi andhra kitchen,3,3,3,Medium,Conservative normalization
bahar cafe,3,1,3,High,Conservative normalization
bake and shake,3,3,3,Medium,Conservative normalization
bake my day,3,2,3,Medium,Conservative normalization
bake n grill,3,2,3,Medium,Conservative normalization
bake n shake,3,2,3,Medium,Conservative normalization
bake ur day,3,1,3,High,Conservative normalization
bakeburry,3,2,3,Medium,Conservative normalization
baked by nini s,3,3,3,Medium,Conservative normalization
baker s lounge,3,1,3,High,Conservative normalization
baker s street,3,2,3,Medium,Conservative normalization
baker s treat,3,1,3,High,Conservative normalization
baker street,3,1,2,High,Conservative normalization
bakers home cakes and desserts,3,2,3,Medium,Conservative normalization
bakers lounge,3,2,3,Medium,Conservative normalization
bakers street,3,2,3,Medium,Conservative normalization
bakery daynight,3,2,3,Medium,Conservative normalization
bakery house,3,1,3,High,Conservative normalization
bakerywala,3,1,3,High,Conservative normalization
bakes my cake,3,3,3,Medium,Conservative normalization
baking bond,3,1,2,High,Conservative normalization
balaji bhojnalaya,3,2,3,Medium,Conservative normalization
balaji family dhaba,3,1,3,High,Conservative normalization
balaji foods,3,1,3,High,Conservative normalization
balaji mithai bhandar,3,3,3,Medium,Conservative normalization
balaji sandwich two slices,3,1,3,High,Conservative normalization
balaji snacks,3,3,3,Medium,Conservative normalization
balle balle,3,2,3,Medium,Conservative normalization
bambo bakehouse,3,1,3,High,Conservative normalization
banana leaf komala vilas,3,3,3,Medium,Conservative normalization
banarasiya,3,2,3,Medium,Conservative normalization
bang bang pizza,3,1,3,High,Conservative normalization
bangali bhoj,3,2,3,Medium,Conservative normalization
bangaliyana,3,1,3,High,Conservative normalization
bangalore iyangars bakery,3,1,3,High,Conservative normalization
banjos the food chain,3,1,3,High,Conservative normalization
bar b que inn,3,2,3,Medium,Conservative normalization
bar bq destination,3,1,3,High,Conservative normalization
bareily ki barfi,3,1,3,High,Conservative normalization
basil cafe,3,2,3,Medium,Conservative normalization
batter,3,1,3,High,Conservative normalization
bawarchi biryani house,3,1,3,High,Conservative normalization
bawarchi express,3,1,3,High,Conservative normalization
bayleaf,3,2,3,Medium,Conservative normalization
bbq corner,3,1,3,High,Conservative normalization
bbq mechanic,3,2,3,Medium,Conservative normalization
bbq on wheelz,3,3,3,Medium,Conservative normalization
bbq ride,3,2,3,Medium,Conservative normalization
be healthy,3,2,3,Medium,Conservative normalization
bedwin,3,2,3,Medium,Conservative normalization
beliram degchiwala,3,1,3,High,Conservative normalization
between your buns,3,1,3,High,Conservative normalization
bewafa maggie wala,3,1,3,High,Conservative normalization
bfc,3,1,3,High,Conservative normalization
bharawan da dhaba,3,1,3,High,Conservative normalization
bharkadevi icecream,3,2,3,Medium,Conservative normalization
bhartiya jalpan,3,2,3,Medium,Conservative normalization
bhartiya jalpan sweets dry fruit and savouries,3,1,3,High,Conservative normalization
bhukkad,3,2,3,Medium,Conservative normalization
bhukkad cafe,3,2,3,Medium,Conservative normalization
bhukkad mafia,3,2,3,Medium,Conservative normalization
big bang bistro,3,1,3,High,Conservative normalization
big burger,3,1,3,High,Conservative normalization
big city pizza,3,1,3,High,Conservative normalization
big pitcher,3,1,3,High,Conservative normalization
big smokin burgers,3,1,3,High,Conservative normalization
bigguys wingery,3,1,3,High,Conservative normalization
bihari bhojan,3,3,3,Medium,Conservative normalization
bihari dhaba,3,1,3,High,Conservative normalization
bikaner misthan bhandar,3,1,3,High,Conservative normalization
bilal biriyani,3,1,3,High,Conservative normalization
binharif dabeli,3,1,3,High,Conservative normalization
bird valley,3,2,3,Medium,Conservative normalization
biriyaan 1620,3,1,3,High,Conservative normalization
biriyani king,3,3,3,Medium,Conservative normalization
biriyani mahal,3,1,3,High,Conservative normalization
biriyani mubaarak,3,1,3,High,Conservative normalization
biriyani palace,3,2,3,Medium,Conservative normalization
birmies,3,1,3,High,Conservative normalization
biryani bar,3,1,3,High,Conservative normalization
biryani bazar,3,2,3,Medium,Conservative normalization
biryani bhaijaan,3,1,3,High,Conservative normalization
biryani birinj,3,2,3,Medium,Conservative normalization
biryani bowls,3,1,3,High,Conservative normalization
biryani bucket,3,3,3,Medium,Conservative normalization
biryani buzz,3,2,3,Medium,Conservative normalization
biryani by kg,3,3,3,Medium,Conservative normalization
biryani center,3,2,3,Medium,Conservative normalization
biryani chacha,3,1,3,High,Conservative normalization
biryani darbaar,3,2,3,Medium,Conservative normalization
biryani e khaas,3,3,3,Medium,Conservative normalization
biryani ghar,3,1,3,High,Conservative normalization
biryani hills,3,1,3,High,Conservative normalization
biryani master,3,1,3,High,Conservative normalization
biryani on fire,3,2,3,Medium,Conservative normalization
biryani street,3,2,3,Medium,Conservative normalization
bismi hotel,3,2,3,Medium,Conservative normalization
bismillah biryani centre,3,2,3,Medium,Conservative normalization
bismillah catering,3,1,3,High,Conservative normalization
bite me,3,2,3,Medium,Conservative normalization
bites,3,2,3,Medium,Conservative normalization
bittu dhaba,3,2,3,Medium,Conservative normalization
bobby tikki wala,3,1,3,High,Conservative normalization
bole to vadapav,3,2,3,Medium,Conservative normalization
bombay bakery,3,2,3,Medium,Conservative normalization
bombay dhaba,3,1,3,High,Conservative normalization
bombay juice,3,1,3,High,Conservative normalization
bombay meri jaan,3,1,3,High,Conservative normalization
bombay vada pav,3,2,3,Medium,Conservative normalization
bonomi,3,1,3,High,Conservative normalization
boozy bakes,3,1,3,High,Conservative normalization
bowl up,3,2,3,Medium,Conservative normalization
bowls 69,3,1,3,High,Conservative normalization
box up,3,1,3,High,Conservative normalization
bread omelette,3,3,3,Medium,Conservative normalization
bread talk,3,1,3,High,Conservative normalization
breads and moulds,3,1,3,High,Conservative normalization
break the bread sandwiches and burgers,3,2,3,Medium,Conservative normalization
breakfast corner,3,2,3,Medium,Conservative normalization
breakfast to dinner,3,1,3,High,Conservative normalization
breatato co,3,2,3,Medium,Conservative normalization
brewers the coffee bar,3,1,3,High,Conservative normalization
brijwasi misthan bhandar,3,1,3,High,Conservative normalization
bro pizza,3,2,3,Medium,Conservative normalization
brooklyn pizza co,3,1,3,High,Conservative normalization
brote,3,2,3,Medium,Conservative normalization
brownie point,3,1,3,High,Conservative normalization
btc bathinda thali company,3,2,3,Medium,Conservative normalization
buddha s bowl,3,2,3,Medium,Conservative normalization
buddy s pizza,3,3,3,Medium,Conservative normalization
buhari hotel,3,2,3,Medium,Conservative normalization
bukhara kitchens,3,2,3,Medium,Conservative normalization
bun makkhan chai,3,1,3,High,Conservative normalization
bunny burgers,3,2,3,Medium,Conservative normalization
burger 13,3,1,3,High,Conservative normalization
burger 1880 s,3,2,3,Medium,Conservative normalization
burger beast,3,2,3,Medium,Conservative normalization
burger factory,3,2,3,Medium,Conservative normalization
burger friendz,3,2,3,Medium,Conservative normalization
burger ji,3,1,3,High,Conservative normalization
burger joint,3,2,3,Medium,Conservative normalization
burger pie,3,2,3,Medium,Conservative normalization
burger planet,3,2,3,Medium,Conservative normalization
burger seigneur,3,1,3,High,Conservative normalization
burger station,3,1,3,High,Conservative normalization
burger town,3,2,3,Medium,Conservative normalization
burgermeister,3,1,3,High,Conservative normalization
burglars,3,1,3,High,Conservative normalization
burma square,3,1,3,High,Conservative normalization
burrito raja,3,1,3,High,Conservative normalization
butter chicken babe,3,2,3,Medium,Conservative normalization
butter chicken company,3,1,3,High,Conservative normalization
butter chicken wala bcw,3,2,3,Medium,Conservative normalization
cady chinese,3,1,3,High,Conservative normalization
cafe 14,3,2,3,Medium,Conservative normalization
cafe 18,3,1,3,High,Conservative normalization
cafe 7,3,1,3,High,Conservative normalization
cafe 96,3,1,3,High,Conservative normalization
cafe blanca,3,2,3,Medium,Conservative normalization
cafe cloud 9,3,2,3,Medium,Conservative normalization
cafe coffee hutt,3,1,3,High,Conservative normalization
cafe culture,3,3,3,Medium,Conservative normalization
cafe deja vu,3,1,3,High,Conservative normalization
cafe frespresso,3,2,3,Medium,Conservative normalization
cafe heaven,3,2,3,Medium,Conservative normalization
cafe house,3,2,3,Medium,Conservative normalization
cafe madeline,3,2,3,Medium,Conservative normalization
cafe noir,3,1,3,High,Conservative normalization
cafe pizza n burger,3,2,3,Medium,Conservative normalization
cafe relish,3,1,3,High,Conservative normalization
cafe sandoz,3,1,3,High,Conservative normalization
caffeine machine,3,2,3,Medium,Conservative normalization
cake 24 7,3,2,3,Medium,Conservative normalization
cake 24x7 com,3,2,3,Medium,Conservative normalization
cake 99,3,2,3,Medium,Conservative normalization
cake addict,3,2,3,Medium,Conservative normalization
cake and cafe,3,3,3,Medium,Conservative normalization
cake and more,3,2,3,Medium,Conservative normalization
cake anytime,3,2,3,Medium,Conservative normalization
cake art a unit of aj group,3,3,3,Medium,Conservative normalization
cake bake,3,1,3,High,Conservative normalization
cake bakers,3,2,3,Medium,Conservative normalization
cake bites,3,3,3,Medium,Conservative normalization
cake bonzerbites live cake,3,2,3,Medium,Conservative normalization
cake celebrate,3,2,3,Medium,Conservative normalization
cake city,3,2,3,Medium,Conservative normalization
cake connection,3,1,3,High,Conservative normalization
cake creation,3,1,3,High,Conservative normalization
cake crown,3,2,3,Medium,Conservative normalization
cake depo,3,1,3,High,Conservative normalization
cake event,3,1,3,High,Conservative normalization
cake express,3,2,3,Medium,Conservative normalization
cake galaxy,3,2,3,Medium,Conservative normalization
cake home,3,2,3,Medium,Conservative normalization
cake hopper,3,1,3,High,Conservative normalization
cake house cafe,3,3,3,Medium,Conservative normalization
cake inventor,3,3,3,Medium,Conservative normalization
cake jsk live cake,3,1,3,High,Conservative normalization
cake lounge,3,2,3,Medium,Conservative normalization
cake lovers,3,2,3,Medium,Conservative normalization
cake mania,3,1,3,High,Conservative normalization
cake master,3,2,3,Medium,Conservative normalization
cake n bakes,3,3,3,Medium,Conservative normalization
cake on time,3,1,3,High,Conservative normalization
cake paradise,3,1,3,High,Conservative normalization
cake parlour,3,1,3,High,Conservative normalization
cake party,3,1,3,High,Conservative normalization
cake planet,3,1,3,High,Conservative normalization
cake point 24 7,3,1,3,High,Conservative normalization
cake room,3,1,3,High,Conservative normalization
cake s inn,3,2,3,Medium,Conservative normalization
cake sarovar,3,3,3,Medium,Conservative normalization
cake superior,3,1,3,High,Conservative normalization
cake talk,3,1,3,High,Conservative normalization
cake vibes,3,2,3,Medium,Conservative normalization
cakelicious,3,2,3,Medium,Conservative normalization
cakermon,3,1,3,High,Conservative normalization
cakes and cakes,3,3,3,Medium,Conservative normalization
cakes and shakes,3,3,3,Medium,Conservative normalization
cakes for you,3,2,3,Medium,Conservative normalization
cakes today,3,1,3,High,Conservative normalization
cakes07,3,1,3,High,Conservative normalization
cakestory desserts,3,3,3,Medium,Conservative normalization
cakewala,3,1,3,High,Conservative normalization
calcutta sweets,3,1,3,High,Conservative normalization
calcutta victoria chat house,3,2,3,Medium,Conservative normalization
canadian pizza,3,2,3,Medium,Conservative normalization
candice s gourmet sandwiches,3,2,3,Medium,Conservative normalization
carlos cakes,3,1,3,High,Conservative normalization
carnatic cafe,3,1,3,High,Conservative normalization
celejor,3,1,3,High,Conservative normalization
central perk bakery,3,2,3,Medium,Conservative normalization
cha angadi,3,1,3,High,Conservative normalization
cha khor,3,2,3,Medium,Conservative normalization
cha republic,3,3,3,Medium,Conservative normalization
chaap corner,3,2,3,Medium,Conservative normalization
chaap khazana,3,2,3,Medium,Conservative normalization
chaat and chai co,3,2,3,Medium,Conservative normalization
chaat chowk,3,1,3,High,Conservative normalization
chaat lounge,3,1,3,High,Conservative normalization
chaat street express,3,1,3,High,Conservative normalization
chacha chicken,3,2,3,Medium,Conservative normalization
chaha house,3,1,3,High,Conservative normalization
chai,3,1,3,High,Conservative normalization
chai bar,3,2,3,Medium,Conservative normalization
chai break,3,1,2,High,Conservative normalization
chai dukaan,3,2,3,Medium,Conservative normalization
chai g,3,1,3,High,Conservative normalization
chai kaapi,3,1,3,High,Conservative normalization
chai ok please,3,2,3,Medium,Conservative normalization
chai samosa,3,2,3,Medium,Conservative normalization
chai station,3,2,3,Medium,Conservative normalization
chai time,3,2,3,Medium,Conservative normalization
chainaama,3,1,3,High,Conservative normalization
chaiops,3,1,3,High,Conservative normalization
chaishala chuski chaiwali,3,1,3,High,Conservative normalization
chaiza,3,2,3,Medium,Conservative normalization
chakhh de punjab,3,2,3,Medium,Conservative normalization
chakum chukum,3,3,3,Medium,Conservative normalization
chamunda the lassi shop,3,1,3,High,Conservative normalization
chandu halwai,3,1,3,High,Conservative normalization
chang s combos,3,1,3,High,Conservative normalization
changezi chicken,3,2,3,Medium,Conservative normalization
chao mung china,3,1,3,High,Conservative normalization
charcoal chicken,3,1,3,High,Conservative normalization
charcoal grill,3,1,3,High,Conservative normalization
chaska sweets and snacks,3,2,3,Medium,Conservative normalization
chaskaa,3,2,3,Medium,Conservative normalization
chatori,3,2,3,Medium,Conservative normalization
chatpata chat house,3,3,3,Medium,Conservative normalization
chatpata corner,3,1,3,High,Conservative normalization
chaudhary dhaba,3,2,3,Medium,Conservative normalization
chauhan dhaba,3,1,3,High,Conservative normalization
chawal chicken,3,3,3,Medium,Conservative normalization
chawla dilliwala,3,1,3,High,Conservative normalization
chawla restaurant,3,1,3,High,Conservative normalization
chawla s kitchen,3,2,3,Medium,Conservative normalization
cheers,3,1,3,High,Conservative normalization
cheezy,3,1,3,High,Conservative normalization
chef king,3,3,3,Medium,Conservative normalization
chef mode,3,2,3,Medium,Conservative normalization
chef s nation,3,3,3,Medium,Conservative normalization
chef s special,3,2,3,Medium,Conservative normalization
chennai square,3,1,3,High,Conservative normalization
chettiyar mess,3,2,3,Medium,Conservative normalization
chettys corner,3,1,3,High,Conservative normalization
chicago shake and creamery,3,1,3,High,Conservative normalization
chick inn,3,1,3,High,Conservative normalization
chicken chaska,3,3,3,Medium,Conservative normalization
chicken county restaurant,3,1,3,High,Conservative normalization
chicken delight,3,2,3,Medium,Conservative normalization
chicken express,3,2,3,Medium,Conservative normalization
chicken inn,3,1,3,High,Conservative normalization
chicken island,3,2,3,Medium,Conservative normalization
chicken peddler,3,2,3,Medium,Conservative normalization
chicken point,3,1,3,High,Conservative normalization
chill house,3,3,3,Medium,Conservative normalization
chill out cafe,3,3,3,Medium,Conservative normalization
chilli garlic,3,3,3,Medium,Conservative normalization
chillies restaurant,3,2,3,Medium,Conservative normalization
chills n grills,3,3,3,Medium,Conservative normalization
chin chin,3,1,3,High,Conservative normalization
china gate,3,2,3,Medium,Conservative normalization
china green,3,1,3,High,Conservative normalization
china town chinese food,3,2,3,Medium,Conservative normalization
china town express,3,2,3,Medium,Conservative normalization
china valley,3,2,3,Medium,Conservative normalization
chinatown,3,2,3,Medium,Conservative normalization
chinese baba,3,3,3,Medium,Conservative normalization
chinese bandi,3,2,3,Medium,Conservative normalization
chinese bites,3,2,3,Medium,Conservative normalization
chinese box,3,2,3,Medium,Conservative normalization
chinese dhaba,3,1,3,High,Conservative normalization
chinese food factory,3,1,3,High,Conservative normalization
chinese village,3,2,3,Medium,Conservative normalization
chings chinese,3,2,3,Medium,Conservative normalization
chiragdin biryani,3,1,3,High,Conservative normalization
chit chaat,3,3,3,Medium,Conservative normalization
chitale ice cream,3,1,3,High,Conservative normalization
chitrakut,3,1,3,High,Conservative normalization
chole bhatura and parathas,3,3,3,Medium,Conservative normalization
chole kulche,3,1,3,High,Conservative normalization
chop n stix,3,1,3,High,Conservative normalization
choudhary sweets,3,2,3,Medium,Conservative normalization
chow box,3,3,3,Medium,Conservative normalization
chow chow chinese,3,1,3,High,Conservative normalization
chow mein,3,3,3,Medium,Conservative normalization
chow mein and co,3,1,3,High,Conservative normalization
chowringhee square,3,1,2,High,Conservative normalization
chulbul dhaba,3,1,3,High,Conservative normalization
chulha chowka,3,2,3,Medium,Conservative normalization
churroz,3,1,3,High,Conservative normalization
cia chinese in ahmedabad,3,2,3,Medium,Conservative normalization
cilantro,3,2,3,Medium,Conservative normalization
city bakers,3,2,3,Medium,Conservative normalization
city cafe,3,1,3,High,Conservative normalization
classic bakers,3,3,3,Medium,Conservative normalization
classic china bowl,3,1,3,High,Conservative normalization
classic pizza,3,1,3,High,Conservative normalization
coal barbecues express,3,1,3,High,Conservative normalization
coastal reef,3,1,3,High,Conservative normalization
cock ra co,3,1,3,High,Conservative normalization
cocotang,3,2,3,Medium,Conservative normalization
coffee by di bella,3,1,3,High,Conservative normalization
coffee shastra,3,2,3,Medium,Conservative normalization
coffee world,3,2,3,Medium,Conservative normalization
cold fusion,3,1,3,High,Conservative normalization
combo kings,3,2,3,Medium,Conservative normalization
combo mafia,3,1,3,High,Conservative normalization
combo wala,3,2,3,Medium,Conservative normalization
cool biz,3,2,3,Medium,Conservative normalization
cool coco day,3,1,3,High,Conservative normalization
cool zone,3,2,3,Medium,Conservative normalization
