raw_city,clean_city,metro_region,state,confidence,review_status,row_count
"Mulund,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,498
"South Kolkata,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,498
"Porur,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,496
"PCMC,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,495
"Hinjewadi,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,492
"Perambur,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,491
"Piplod,Surat",Surat,Surat,Gujarat,High,Reviewed rule,490
"Dwarka Nagar,Vizag",Vizag,Vizag,Unmapped,Medium,Review pending,486
Raipur,Raipur,Raipur,Unmapped,Medium,Review pending,482
"Greater Mohali,Chandigarh",Chandigarh,Chandigarh,Chandigarh,High,Reviewed rule,480
Allahabad,Prayagraj,Prayagraj,Uttar Pradesh,High,Reviewed rule,475
"Sadar,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,474
Madurai,Madurai,Madurai,Unmapped,Medium,Review pending,473
"JP Nagar,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,470
"Scruz Bandra East,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,469
Bhubaneswar,Bhubaneswar,Bhubaneswar,Odisha,High,Reviewed rule,462
"Miyapur,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,461
"Himayath Nagar,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,460
"Ruby Area,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,458
Agra,Agra,Agra,Unmapped,Medium,Review pending,455
"Bhosari,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,455
"Vasant Kunj,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,455
Gondal,Gondal,Gondal,Unmapped,Medium,Review pending,454
"Pimple Saudagar,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,454
"NSP,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,451
"Lajpat Nagar,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,449
"Vasai,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,449
Adityapur,Adityapur,Adityapur,Unmapped,Medium,Review pending,448
North-goa,Goa,Goa,Goa,High,Reviewed rule,446
Amritsar,Amritsar,Amritsar,Unmapped,Medium,Review pending,441
"Nizampet & Pragathi Nagar,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,435
"Navrangpura,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,433
Aurangabad,Aurangabad,Aurangabad,Unmapped,Medium,Review pending,430
"Garia,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,429
"Vadapalani,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,429
"Gachibowli,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,428
"Velachery,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,428
"Adajan,Surat",Surat,Surat,Gujarat,High,Reviewed rule,427
"Ganeshguri,Guwahati",Guwahati,Guwahati,Unmapped,Medium,Review pending,427
"Wagholi,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,426
"Adyar,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,421
Jodhpur,Jodhpur,Jodhpur,Unmapped,Medium,Review pending,419
"Shivaji Nagar,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,415
"Mogappair,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,414
Ranchi,Ranchi,Ranchi,Unmapped,Medium,Review pending,414
"Athwa,Surat",Surat,Surat,Gujarat,High,Reviewed rule,411
"Hathibarkala,Dehradun",Dehradun,Dehradun,Unmapped,Medium,Review pending,409
Central-goa,Goa,Goa,Goa,High,Reviewed rule,404
"Indira Nagar,Lucknow",Lucknow,Lucknow,Uttar Pradesh,High,Reviewed rule,404
"Vanasthalipuram,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,404
"Jasola,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,403
"Lingampally & Nalagandla,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,402
"Tarnaka, Nacharam & Malkajigiri,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,401
"Bopal,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,398
"Madipakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,398
"Howrah,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,395
"Nigdi,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,394
"Medavakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,392
"Gandhinagar,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,389
"Chrompet,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,387
"Attapur,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,386
"Chandkheda,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,383
"Nandanvan,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,381
"Kirti Nagar,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,380
"Sector 15_FBD,Gurgaon",Gurgaon,Gurgaon,Haryana,High,Reviewed rule,378
"South Extension,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,378
"T Nagar,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,375
Gorakhpur,Gorakhpur,Gorakhpur,Unmapped,Medium,Review pending,374
"Maninagar,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,373
"Tambaram,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,370
"Chukkuwala,Dehradun",Dehradun,Dehradun,Unmapped,Medium,Review pending,364
"Mahadevpura,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,364
"Banashankari,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,360
"Paltan Bazaar,Guwahati",Guwahati,Guwahati,Unmapped,Medium,Review pending,360
"Urapakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,360
"Swargate,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,358
"Airoli,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,357
"Behala,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,357
"Hazratganj,Lucknow",Lucknow,Lucknow,Uttar Pradesh,High,Reviewed rule,356
"OMR Perungudi,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,356
"Akota,Vadodara",Vadodara,Vadodara,Unmapped,Medium,Review pending,353
"Jayanagar,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,350
"Bhawar Kuan,Indore",Indore,Indore,Madhya Pradesh,High,Reviewed rule,348
Bareilly,Bareilly,Bareilly,Unmapped,Medium,Review pending,344
"Mysore North,Mysore",Mysore,Mysore,Unmapped,Medium,Review pending,342
"Virar,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,335
Meerut,Meerut,Meerut,Unmapped,Medium,Review pending,331
"Panchkula,Chandigarh",Chandigarh,Chandigarh,Chandigarh,High,Reviewed rule,330
"South Campus,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,329
"Kondapur,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,326
"Geddalahalli,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,323
"Dharampeth,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,320
"Greenfields_FBD,Gurgaon",Gurgaon,Gurgaon,Haryana,High,Reviewed rule,320
Pondicherry,Puducherry,Puducherry,Unmapped,High,Reviewed rule,320
"Matunga Wadala,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,315
"Mysore South,Mysore",Mysore,Mysore,Unmapped,Medium,Review pending,314
"Narhe,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,309
"Sinhgad Road,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,305
"Fort Colaba,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,303
"Ghatlodia,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,301
"Santoshpur,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,301
"Ambattur,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,300
Gwalior,Gwalior,Gwalior,Unmapped,Medium,Review pending,300
"Kharkhana & Trimulgherry,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,299
"Jubilee Hills,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,293
"Alipore,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,292
"Burrabazar,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,290
"East Chd,Chandigarh",Chandigarh,Chandigarh,Chandigarh,High,Reviewed rule,289
"Nungambakkam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,289
"CV Raman Nagar,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,285
"Bhayandar,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,284
"Aundh,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,281
"Nagavara & Hennur,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,279
Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,Unmapped,Medium,Review pending,279
"Old Palasia,Indore",Indore,Indore,Madhya Pradesh,High,Reviewed rule,278
"Bally,Kolkata",Kolkata,Kolkata,West Bengal,High,Reviewed rule,277
Kolhapur,Kolhapur,Kolhapur,Unmapped,Medium,Review pending,276
Rohtak,Rohtak,Rohtak,Unmapped,Medium,Review pending,276
"Vadiwadi,Vadodara",Vadodara,Vadodara,Unmapped,Medium,Review pending,276
"Kamothe,Mumbai",Mumbai,Mumbai,Maharashtra,High,Reviewed rule,275
"Begumpet,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,274
"OMR Navalur,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,272
"Dugri,Ludhiana",Ludhiana,Ludhiana,Unmapped,Medium,Review pending,269
"South Mohali,Chandigarh",Chandigarh,Chandigarh,Chandigarh,High,Reviewed rule,269
Sultanpur,Sultanpur,Sultanpur,Unmapped,Medium,Review pending,265
"Bavdhan,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,264
"Battarahalli,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,261
Trichy,Tiruchirappalli,Tiruchirappalli,Unmapped,High,Reviewed rule,261
Guntur,Guntur,Guntur,Unmapped,Medium,Review pending,260
"Hopes,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,259
"Connaught Place,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,258
Siliguri,Siliguri,Siliguri,Unmapped,Medium,Review pending,258
"Karappakam,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,255
"Basaveshwaranagar,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,253
"Sangvi,Pune",Pune,Pune,Maharashtra,High,Reviewed rule,252
"George Town,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,248
Jabalpur,Jabalpur,Jabalpur,Unmapped,Medium,Review pending,246
"R.T. Nagar,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,246
"Tolichowki,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,245
"GOTA,Ahmedabad",Ahmedabad,Ahmedabad,Gujarat,High,Reviewed rule,243
Tirupati,Tirupati,Tirupati,Unmapped,Medium,Review pending,243
"Sector-14,Gurgaon",Gurgaon,Gurgaon,Haryana,High,Reviewed rule,238
